Δϵ_n,Ω_d,N
0.9250944461431736,0.14,20.0
0.9148099556974849,0.14,20.0
0.8630987933966061,0.14,20.0
0.12921380325226128,0.14,20.0
0.8116447790555492,0.14,20.0
0.7642020155895441,0.14,20.0
0.7014459251392656,0.14,20.0
0.6868637950044524,0.14,20.0
0.6662453593047875,0.14,20.0
0.40799762566519426,0.14,20.0
0.42542846334809137,0.14,20.0
0.5611717046470459,0.14,20.0
0.5269689732674678,0.14,20.0
0.46998651050068924,0.14,20.0
0.5141182438651707,0.14,20.0
0.5087631043106293,0.14,20.0
0.0,0.15,20.0
0.98595923270264,0.15,20.0
0.9841534007936552,0.15,20.0
0.03810926429432554,0.15,20.0
0.9255396956685944,0.15,20.0
0.9148330061021239,0.15,20.0
0.12616872733399415,0.15,20.0
0.8601717087178088,0.15,20.0
0.8116375523254507,0.15,20.0
0.7671470800166862,0.15,20.0
0.7015900156058203,0.15,20.0
0.6868520067207384,0.15,20.0
0.6662269507611375,0.15,20.0
0.40804658268780925,0.15,20.0
0.5617984908063242,0.15,20.0
0.43041204463395755,0.15,20.0
0.526952463234955,0.15,20.0
0.47018735021558855,0.15,20.0
0.5141288608626399,0.15,20.0
0.505373739239998,0.15,20.0
0.0,0.16,20.0
0.9882958212059625,0.16,20.0
0.9811748698490967,0.16,20.0
0.03818753792726448,0.16,20.0
0.9260156549542689,0.16,20.0
0.9148576461299768,0.16,20.0
0.12291388629451033,0.16,20.0
0.8570426467009289,0.16,20.0
0.8116298272444178,0.16,20.0
0.7702942149744627,0.16,20.0
0.7017440433801967,0.16,20.0
0.6868394055606568,0.16,20.0
0.6662072729735158,0.16,20.0
0.4080989159815498,0.16,20.0
0.5624685088098811,0.16,20.0
0.435726015949266,0.16,20.0
0.5269348147882684,0.16,20.0
0.4704020411264059,0.16,20.0
0.5141402100271734,0.16,20.0
0.5017507001954653,0.16,20.0
0.9907832974105919,0.17,20.0
0.0,0.17,20.0
0.9780199537790359,0.17,20.0
0.03827086151964282,0.17,20.0
0.9265223247455009,0.17,20.0
0.9148838758517011,0.17,20.0
0.11944934402346069,0.17,20.0
0.8537115857315052,0.17,20.0
0.8116216037625411,0.17,20.0
0.7736432131697466,0.17,20.0
0.7019080086181525,0.17,20.0
0.6868259914019625,0.17,20.0
0.6661863255920639,0.17,20.0
0.4081546256467775,0.17,20.0
0.5631817598690867,0.17,20.0
0.44136782361096955,0.17,20.0
