E_n,ϵ_2_by_K,N
379.28211664533984,1.2,40.0
419.2819151708033,1.2,40.0
461.28174115083044,1.2,40.0
505.2815898147305,1.2,40.0
551.2814573847404,1.2,40.0
599.2813408379792,1.2,40.0
649.2812377324301,1.2,40.0
701.2811460779819,1.2,40.0
755.2810642418368,1.2,40.0
811.2809908734247,1.2,40.0
869.2809253770416,1.2,40.0
929.2808668859772,1.2,40.0
991.2809066923933,1.2,40.0
1055.2809817690904,1.2,40.0
1121.2911959386136,1.2,40.0
1189.298594345254,1.2,40.0
1259.8762567814488,1.2,40.0
1332.060510781755,1.2,40.0
1418.7983919434794,1.2,40.0
1496.3991187886113,1.2,40.0
-2.102892541408733,1.3,40.0
-1.7424367066944122,1.3,40.0
1.5504602222862442,1.3,40.0
5.276042056113731,1.3,40.0
11.226319587751016,1.3,40.0
19.198830126260578,1.3,40.0
29.184514264560914,1.3,40.0
41.17618300320751,1.3,40.0
55.17092981953966,1.3,40.0
71.16741032596853,1.3,40.0
89.16493912341451,1.3,40.0
109.16313822457514,1.3,40.0
131.16178562452555,1.3,40.0
155.160744081189,1.3,40.0
181.159925084989,1.3,40.0
209.1592694914931,1.3,40.0
239.1587365671236,1.3,40.0
271.1582975194491,1.3,40.0
305.1579315314282,1.3,40.0
341.1576232508044,1.3,40.0
379.1573611551577,1.3,40.0
419.1571364602986,1.3,40.0
461.1569423750647,1.3,40.0
505.1567735823892,1.3,40.0
551.1566258714078,1.3,40.0
599.1564958723774,1.3,40.0
649.1563808628666,1.3,40.0
701.1562786240963,1.3,40.0
755.1561873388564,1.3,40.0
811.1561055024467,1.3,40.0
869.1560330454265,1.3,40.0
929.155968708515,1.3,40.0
991.1560859672996,1.3,40.0
1055.1562324835213,1.3,40.0
1121.172605097745,1.3,40.0
1189.1828208451313,1.3,40.0
1259.9627748960525,1.3,40.0
1332.1804409382898,1.3,40.0
1420.9417892462932,1.3,40.0
1498.6612104701828,1.3,40.0
-2.329870105909776,1.4,40.0
-2.022629601511195,1.4,40.0
1.474739767824432,1.4,40.0
5.150133424246008,1.4,40.0
11.09914880012215,1.4,40.0
19.068780481187133,1.4,40.0
29.052913230998644,1.4,40.0
41.04364818122872,1.4,40.0
55.03779538428691,1.4,40.0
71.03386968250595,1.4,40.0
89.03111117959828,1.4,40.0
109.02909985191508,1.4,40.0
131.0275886287987,1.4,40.0
155.02642460822017,1.4,40.0
181.0255091033161,1.4,40.0
209.02477612946052,1.4,40.0
239.02418022102256,1.4,40.0
271.0236892288912,1.4,40.0
305.0232799022191,1.4,40.0
341.02293508967847,1.4,40.0
379.0226419159775,1.4,40.0
419.0223905638912,1.4,40.0
461.02217344251204,1.4,40.0
505.02198460789015,1.4,40.0
551.021819352199,1.4,40.0
599.0216739076553,1.4,40.0
649.0215452300409,1.4,40.0
701.0214308381481,1.4,40.0
755.0213287073407,1.4,40.0
811.0212371549019,1.4,40.0
869.0211572687956,1.4,40.0
929.0210868095731,1.4,40.0
991.0213389829846,1.4,40.0
1055.0215921155223,1.4,40.0
1121.0468516053886,1.4,40.0
1189.0605975398041,1.4,40.0
1260.0869087467843,1.4,40.0
1332.3408101102486,1.4,40.0
1423.2270326908092,1.4,40.0
1501.0672752214296,1.4,40.0
-2.5818079428287066,1.5,40.0
-2.3208377137706013,1.5,40.0
1.3966644768146188,1.5,40.0
5.01489156201964,1.5,40.0
10.96308083096225,1.5,40.0
18.929398890667112,1.5,40.0
28.91177427523767,1.5,40.0
40.901450201322845,1.5,40.0
54.89491677884829,1.5,40.0
70.89052967172958,1.5,40.0
88.8874446644788,1.5,40.0
108.88519410416258,1.5,40.0
130.8835024945164,1.5,40.0
154.8821991622338,1.5,40.0
180.88117386479655,1.5,40.0
208.88035284766042,1.5,40.0
238.87968526811855,1.5,40.0
270.879135161771,1.5,40.0
304.8786765108149,1.5,40.0
340.8782901181959,1.5,40.0
378.8779615700274,1.5,40.0
